Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A006100,Scamp,12/20/2014 16:35,14-Dec,7/9/2007,Return to Owner,,Dog,Neutered Male,7 years,Spinone Italiano Mix,Yellow/White
A006100,Scamp,12/7/2017 0:00,17-Dec,7/9/2007,Return to Owner,,Dog,Neutered Male,10 years,Spinone Italiano Mix,Yellow/White
A006100,Scamp,3/8/2014 17:10,14-Mar,7/9/2007,Return to Owner,,Dog,Neutered Male,6 years,Spinone Italiano Mix,Yellow/White
A047759,Oreo,4/7/2014 15:12,14-Apr,4/2/2004,Transfer,Partner,Dog,Neutered Male,10 years,Dachshund,Tricolor
A134067,Bandit,11/16/2013 11:54,13-Nov,10/16/1997,Return to Owner,,Dog,Neutered Male,16 years,Shetland Sheepdog,Brown/White
A141142,Bettie,11/17/2013 11:40,13-Nov,6/1/1998,Return to Owner,,Dog,Spayed Female,15 years,Labrador Retriever/Pit Bull,Black/White
A163459,Sasha,11/14/2014 19:28,14-Nov,10/19/1999,Return to Owner,,Dog,Intact Female,15 years,Miniature Schnauzer Mix,Black/Gray
A165752,Pep,9/15/2014 16:35,14-Sep,8/18/1999,Return to Owner,,Dog,Neutered Male,15 years,Lhasa Apso Mix,Brown/White
A169438,,4/4/2018 20:47,18-Apr,12/23/1999,Relocate,,Bird,Unknown,18 years,Dove Mix,Gray/White
A178569,Boti,3/23/2014 15:57,14-Mar,3/17/1999,Return to Owner,,Dog,Neutered Male,15 years,Shetland Sheepdog Mix,White/Black
A189592,Ophelia,9/18/2015 19:04,15-Sep,8/1/1997,Return to Owner,,Dog,Spayed Female,18 years,Shetland Sheepdog Mix,Brown/White
A191351,Bri-Bri,11/17/2015 13:29,15-Nov,8/21/1999,Return to Owner,,Cat,Intact Female,16 years,Domestic Longhair Mix,Black/White
A197810,Sassafrass,12/22/2014 15:23,14-Dec,1/21/2000,Transfer,Partner,Cat,Spayed Female,14 years,American Shorthair Mix,Brown Tabby/White
A200922,Carlos,11/22/2013 9:44,13-Nov,10/3/1997,Adoption,Foster,Dog,Neutered Male,16 years,Dachshund Mix,Black/Tan
A208755,Kootrie,2/17/2015 16:25,15-Feb,4/27/2000,Euthanasia,Suffering,Dog,Neutered Male,14 years,Border Collie Mix,Black/White
A210457,Caleb,10/7/2016 12:34,16-Oct,6/1/1999,Adoption,Foster,Dog,Neutered Male,17 years,Chihuahua Shorthair,Tan/Black
A212672,Cujo,12/6/2013 14:34,13-Dec,3/5/2000,Return to Owner,,Dog,Intact Female,13 years,German Shepherd/Labrador Retriever,Tan/Black
A214991,Prissy,12/14/2013 13:28,13-Dec,3/1/1994,Euthanasia,Suffering,Cat,Spayed Female,19 years,Domestic Shorthair,Black
A215368,Guiness,8/4/2014 16:31,14-Aug,1/17/2001,Return to Owner,,Dog,Neutered Male,13 years,Newfoundland Mix,Black
A218622,Oliver,12/2/2013 17:09,13-Dec,10/19/1998,Euthanasia,Suffering,Dog,Neutered Male,15 years,Pug,Gold/Gold
A218624,Cookie,12/2/2013 17:11,13-Dec,10/19/1998,Euthanasia,Suffering,Dog,Neutered Male,15 years,Pug,Gold/Gold
A221174,Lippy,5/18/2018 14:20,18-May,5/1/2000,Transfer,Partner,Cat,Spayed Female,18 years,Snowshoe Mix,Tortie Point
A221327,Jamie,4/29/2015 13:42,15-Apr,5/2/1999,Euthanasia,Suffering,Dog,Spayed Female,16 years,Staffordshire Mix,Brown/White
A221448,Tucker,10/28/2013 12:37,13-Oct,11/29/2000,Return to Owner,,Dog,Neutered Male,12 years,Labrador Retriever Mix,Brown/White
A226069,Cedar,10/29/2015 15:00,15-Oct,6/17/2000,Adoption,Foster,Dog,Neutered Male,15 years,Labrador Retriever/Beagle,Sable/White
A228887,Lucy,11/9/2013 17:42,13-Nov,4/27/2001,Return to Owner,,Dog,Spayed Female,12 years,Catahoula/Labrador Retriever,Blue Merle/Tan
